Period,Portfolio,Alpha,MKT,SMB,HML,Alpha t-stat,MKT t-stat,SMB t-stat,HML t-stat,R2
Full Sample,Low,-0.0006342701961250014,1.0663698275571654,0.17435371370354025,0.1714037731187553,-0.9322223429926557,69.10721362861362,7.618504548659053,7.5999258948473765,0.8983498737204673
Full Sample,High,-0.0013211279899851376,1.0851283400048017,0.157797891899029,0.40351149216471344,-1.5222384038622123,55.13015556212485,5.405455588836812,14.026117264785729,0.8454439810504542
Full Sample,Green,0.0006868577938601347,-0.018758512447635885,0.01655582180451112,-0.23210771904595812,0.632972943290641,-0.76223176402682,0.4535888653862652,-6.452851581334124,0.06563863587328
2010-Present,Low,-0.0008953398655272315,1.0706388834586096,0.20206558343299436,0.05177190582355281,-0.722089954456638,36.18455928837274,3.8641832504711116,1.381169564705169,0.9175886774070737
2010-Present,High,-0.0003241485726563865,1.1115927251662634,0.24962848302666477,0.39858626846492345,-0.18646853380627498,26.796867733409954,3.405003506010331,7.584609775522584,0.871842867923833
2010-Present,Green,-0.0005711912928708457,-0.04095384170765377,-0.04756289959367035,-0.34681436264137067,-0.27206469887861723,-0.8174518061590283,-0.5371813450391641,-5.464332989259824,0.18095040030099763
Last 13 Months,Low,-0.007551974350136429,1.0917723176326581,0.42681003743160656,0.195147887993456,-1.0770911494493458,8.373250049681397,1.3333450240934628,1.1773643700051537,0.8989317240776071
Last 13 Months,High,0.013819960776495126,1.0596639841812305,0.671404289179891,0.31886787591566584,1.4133977446307366,5.827681236382703,1.5040340349214112,1.3795054948208414,0.806928360268321
Last 13 Months,Green,-0.02137193512663155,0.03210833345142759,-0.2445942517482845,-0.12371998792220977,-1.6301620233016416,0.1316966476478634,-0.40864777610568725,-0.39919204255439455,0.03346007550929664
