,Ending Value,CAGR,Annualized Vol,Sharpe
Low,221.3445108981975,0.1081465204634493,0.18174472493891336,0.4197963259418891
High,225.42790835263838,0.10853182307539022,0.18778583126646936,0.4136952520772077
Green,0.7252847936709517,-0.006089608686037584,0.09580415069235271,-0.01551104181046059
